Price_Dollars,Q_Low_Gallons,Q_High_Gallons
3.07,"127,186","431,930"
3.59,"91,075","395,627"
4.04,"106,669","455,595"
4.52,"110,221","436,765"
5.03,"102,760","358,551"
5.57,"94,782","408,954"
6,"81,100","360,884"
6.57,"86,685","356,827"
7.05,"68,583","306,290"
7.55,"76,148","262,054"
8.07,"71,043","255,915"
8.5,"20,144","267,970"
9.06,"29,622","293,996"
9.59,"14,082","252,470"
10.02,"37,392","223,554"
10.56,"16,926","173,220"
11.08,0,"208,144"
11.59,"38,446","158,071"
12.01,"15,292","134,646"
